# time  Id  DTNHost  true/false
785.0000 M140 210 true
785.0000 M141 210 true
785.0000 M239 210 true
785.0000 M136 210 true
785.0000 M240 210 true
785.0000 M245 210 true
785.0000 M246 210 true
785.0000 M247 210 true
785.0000 M144 2 true
785.0000 M238 155 true
785.0000 M142 218 true
785.0000 M239 218 true
785.0000 M242 218 true
785.0000 M237 174 true
785.0000 M235 203 true
785.0000 M144 203 true
785.0000 M138 203 true
785.0000 M139 203 true
785.0000 M243 203 true
785.0000 M244 203 true
785.0000 M235 206 true
785.0000 M139 206 true
785.0000 M244 206 true
785.0000 M237 175 true
785.0000 M236 216 true
785.0000 M237 216 true
785.0000 M241 216 true
785.0000 M242 216 true
785.0000 M238 157 true
785.0000 M245 110 true
785.0000 M239 110 true
785.0000 M241 185 true
785.0000 M242 185 true
785.0000 M244 185 true
785.0000 M239 185 true
785.0000 M247 95 true
785.0000 M140 135 true
785.0000 M141 135 true
785.0000 M242 135 true
785.0000 M236 135 true
785.0000 M142 219 true
785.0000 M144 219 true
785.0000 M238 219 true
785.0000 M236 219 true
785.0000 M242 219 true
785.0000 M243 219 true
785.0000 M235 217 true
785.0000 M144 217 true
785.0000 M238 217 true
785.0000 M237 217 true
785.0000 M242 217 true
785.0000 M243 217 true
785.0000 M244 217 true
785.0000 M138 15 true
785.0000 M142 130 true
785.0000 M246 130 true
785.0000 M235 60 true
785.0000 M141 55 true
785.0000 M137 56 true
785.0000 M140 213 true
785.0000 M141 213 true
785.0000 M240 213 true
785.0000 M246 213 true
785.0000 M141 214 true
785.0000 M142 214 true
785.0000 M144 214 true
785.0000 M238 214 true
785.0000 M239 214 true
785.0000 M236 214 true
785.0000 M237 214 true
785.0000 M242 214 true
785.0000 M246 214 true
785.0000 M140 105 true
785.0000 M247 105 true
785.0000 M136 105 true
788.0000 M139 204 true
788.0000 M244 204 true
790.0000 M240 76 true
790.0000 M240 77 true
790.0000 M144 200 true
790.0000 M238 200 true
790.0000 M138 200 true
790.0000 M243 200 true
795.0000 M144 0 true
840.0000 M148 64 true
840.0000 M147 165 true
840.0000 M152 36 true
840.0000 M152 35 true
840.0000 M149 4 true
840.0000 M252 6 true
840.0000 M253 82 true
840.0000 M148 123 true
840.0000 M251 171 true
840.0000 M150 66 true
840.0000 M253 209 true
840.0000 M149 209 true
840.0000 M152 209 true
840.0000 M245 209 true
840.0000 M247 209 true
840.0000 M256 177 true
840.0000 M154 46 true
840.0000 M155 89 true
840.0000 M253 80 true
840.0000 M153 182 true
840.0000 M250 40 true
840.0000 M245 49 true
840.0000 M151 79 true
840.0000 M251 94 true
840.0000 M155 90 true
840.0000 M153 126 true
840.0000 M155 126 true
840.0000 M154 30 true
840.0000 M150 67 true
840.0000 M153 181 true
840.0000 M252 75 true
840.0000 M151 75 true
840.0000 M257 75 true
840.0000 M146 75 true
840.0000 M147 75 true
840.0000 M246 131 true
840.0000 M249 150 true
840.0000 M248 190 true
840.0000 M150 205 true
840.0000 M145 205 true
840.0000 M148 205 true
840.0000 M149 205 true
840.0000 M154 205 true
840.0000 M151 205 true
840.0000 M152 205 true
840.0000 M252 205 true
840.0000 M253 205 true
840.0000 M257 205 true
840.0000 M255 205 true
840.0000 M245 205 true
840.0000 M251 172 true
840.0000 M252 5 true
840.0000 M149 5 true
840.0000 M250 26 true
840.0000 M154 45 true
840.0000 M147 166 true
840.0000 M256 158 true
840.0000 M253 211 true
840.0000 M245 211 true
840.0000 M247 211 true
840.0000 M149 211 true
840.0000 M150 215 true
840.0000 M145 215 true
840.0000 M148 215 true
840.0000 M155 215 true
840.0000 M246 215 true
840.0000 M249 215 true
840.0000 M253 21 true
840.0000 M152 96 true
840.0000 M247 96 true
840.0000 M253 81 true
840.0000 M250 25 true
840.0000 M146 201 true
840.0000 M149 201 true
840.0000 M154 201 true
840.0000 M152 201 true
840.0000 M252 201 true
840.0000 M253 201 true
840.0000 M250 201 true
840.0000 M255 201 true
840.0000 M145 145 true
840.0000 M250 27 true
840.0000 M148 124 true
840.0000 M249 124 true
840.0000 M256 176 true
840.0000 M151 78 true
840.0000 M147 78 true
840.0000 M245 111 true
840.0000 M145 54 true
840.0000 M253 20 true
840.0000 M252 74 true
840.0000 M257 74 true
840.0000 M250 41 true
840.0000 M257 109 true
845.0000 M255 50 true
845.0000 M251 218 true
845.0000 M153 218 true
845.0000 M248 218 true
845.0000 M257 73 true
845.0000 M257 110 true
845.0000 M252 206 true
845.0000 M146 206 true
845.0000 M255 206 true
845.0000 M154 206 true
845.0000 M256 155 true
845.0000 M148 212 true
845.0000 M153 212 true
845.0000 M155 212 true
845.0000 M251 212 true
845.0000 M256 212 true
845.0000 M254 212 true
845.0000 M248 212 true
845.0000 M249 212 true
845.0000 M251 216 true
845.0000 M256 216 true
845.0000 M153 216 true
845.0000 M248 216 true
845.0000 M150 207 true
845.0000 M145 207 true
845.0000 M146 207 true
845.0000 M147 207 true
845.0000 M149 207 true
845.0000 M154 207 true
845.0000 M151 207 true
845.0000 M252 207 true
845.0000 M253 207 true
845.0000 M250 207 true
845.0000 M257 207 true
845.0000 M255 207 true
845.0000 M249 149 true
845.0000 M256 157 true
845.0000 M153 180 true
845.0000 M151 95 true
845.0000 M152 95 true
845.0000 M251 95 true
845.0000 M254 95 true
845.0000 M149 95 true
845.0000 M248 95 true
845.0000 M153 125 true
845.0000 M155 125 true
845.0000 M148 125 true
845.0000 M249 125 true
845.0000 M150 65 true
845.0000 M148 65 true
845.0000 M148 210 true
845.0000 M149 210 true
845.0000 M151 210 true
845.0000 M155 210 true
845.0000 M253 210 true
845.0000 M251 210 true
845.0000 M257 210 true
845.0000 M254 210 true
845.0000 M248 210 true
845.0000 M251 170 true
845.0000 M146 170 true
845.0000 M148 213 true
845.0000 M155 213 true
845.0000 M249 213 true
845.0000 M146 219 true
845.0000 M147 219 true
845.0000 M153 219 true
845.0000 M251 219 true
845.0000 M256 219 true
845.0000 M248 219 true
845.0000 M145 55 true
845.0000 M256 175 true
845.0000 M146 203 true
845.0000 M147 203 true
845.0000 M149 203 true
845.0000 M154 203 true
845.0000 M252 203 true
